games_2023,minutes_played_2023,goals_2023,assists_2023,goals_against_2023,goals_for_2023,clean_sheet_2023,position,sub_position,foot,height_in_cm,age,term_days_remaining,market_value_in_eur,highest_market_value_in_eur,yellow_cards_2023,red_cards_2023,current_club_domestic_competition_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,192.0,27.0,435,300000.0,350000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,181.0,28.0,984,4000000.0,8500000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,180.0,28.0,70,700000.0,1500000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,191.0,26.0,435,1200000.0,1500000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,188.0,24.0,70,125000.0,150000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,1.0,177.0,30.0,70,300000.0,500000.0,0.0,0.0,4
33.0,1439.0,3.0,2.0,50.0,53.0,9.0,1,7,0.0,184.0,25.0,70,9000000.0,10000000.0,1.0,0.0,0
20.0,1284.0,0.0,2.0,42.0,24.0,1.0,2,5,1.0,183.0,25.0,1165,2000000.0,2000000.0,2.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,1.0,179.0,24.0,70,900000.0,900000.0,0.0,0.0,0
30.0,2207.0,1.0,1.0,57.0,31.0,4.0,1,10,1.0,186.0,26.0,70,2200000.0,2500000.0,13.0,0.0,2
13.0,761.0,0.0,0.0,19.0,17.0,4.0,1,7,1.0,184.0,26.0,800,7500000.0,8500000.0,2.0,0.0,2
11.0,868.0,0.0,0.0,19.0,15.0,1.0,2,5,1.0,178.0,29.0,800,5000000.0,9000000.0,3.0,0.0,3
21.0,1048.0,0.0,1.0,30.0,27.0,3.0,1,7,1.0,184.0,28.0,70,1500000.0,2600000.0,5.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,186.0,30.0,70,2000000.0,4000000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1.0,185.0,24.0,70,75000.0,200000.0,0.0,0.0,2
27.0,1440.0,0.0,1.0,27.0,36.0,7.0,1,1,1.0,185.0,27.0,800,7000000.0,13000000.0,5.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,192.0,27.0,70,1800000.0,2000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,0.0,167.0,27.0,70,400000.0,700000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,185.0,24.0,70,3000000.0,6000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,180.0,24.0,800,1800000.0,1800000.0,0.0,0.0,2
33.0,1353.0,5.0,2.0,43.0,49.0,10.0,3,9,1.0,176.0,28.0,800,15000000.0,15000000.0,3.0,0.0,0
20.0,914.0,4.0,0.0,22.0,37.0,10.0,3,3,1.0,190.0,25.0,800,14000000.0,14000000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,187.0,25.0,435,400000.0,400000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,1.0,187.0,25.0,435,1000000.0,1000000.0,0.0,0.0,2
22.0,1735.0,0.0,1.0,33.0,34.0,6.0,1,1,1.0,184.0,24.0,1165,25000000.0,37000000.0,4.0,0.0,0
29.0,2177.0,1.0,6.0,31.0,46.0,7.0,1,7,1.0,174.0,24.0,1165,25000000.0,25000000.0,2.0,0.0,3
34.0,2821.0,10.0,3.0,51.0,47.0,9.0,3,9,1.0,182.0,26.0,435,32000000.0,35000000.0,2.0,0.0,0
